,Season,Lg,Tm,W,L,Finish,Unnamed: 6,Age,Ht.,Wt.,Unnamed: 10,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2021-22,NBA,BRK,44,38,4,,29.1,6-5,217,,82,19755,3442,7251,.475,940,2602,.361,2502,4649,.538,1434,1781,.805,844,2796,3640,2071,582,448,1153,1670,9258
1,2020-21,NBA,BRK,48,24,2,,28.2,6-6,219,,72,17405,3106,6289,.494,1020,2600,.392,2086,3689,.565,1305,1623,.804,640,2559,3199,1929,484,379,975,1371,8537
2,2019-20,NBA,BRK,35,37,4,,26.3,6-6,220,,72,17480,2908,6498,.448,941,2746,.343,1967,3752,.524,1291,1732,.745,766,2683,3449,1761,464,323,1099,1510,8048
3,2018-19,NBA,BRK,42,40,4,,25.4,6-7,215,,82,19980,3301,7358,.449,1047,2965,.353,2254,4393,.513,1555,2088,.745,900,2919,3819,1954,539,339,1236,1763,9204
4,2017-18,NBA,BRK,28,54,5,,25.1,6-7,218,,82,19855,3136,7114,.441,1041,2924,.356,2095,4190,.500,1428,1850,.772,792,2852,3644,1941,512,390,1245,1688,8741
5,2016-17,NBA,BRK,20,62,5,,26.0,6-7,224,,82,19755,3102,6987,.444,877,2591,.338,2225,4396,.506,1592,2020,.788,721,2879,3600,1756,593,387,1356,1726,8673
6,2015-16,NBA,BRK,21,61,4,,26.9,6-6,220,,82,19755,3136,6920,.453,531,1508,.352,2605,5412,.481,1286,1699,.757,863,2614,3477,1829,627,332,1212,1476,8089
7,2014-15,NBA,BRK,38,44,3,,28.6,6-7,224,,82,19930,3069,6804,.451,541,1633,.331,2528,5171,.489,1359,1817,.748,846,2627,3473,1716,576,340,1133,1579,8038
8,2013-14,NBA,BRK,44,38,2,,30.0,6-7,219,,82,19880,2931,6391,.459,709,1922,.369,2222,4469,.497,1508,2002,.753,721,2407,3128,1714,705,311,1191,1777,8079
9,2012-13,NBA,BRK,49,33,2,,28.6,6-7,223,,82,19855,2942,6544,.450,628,1760,.357,2314,4784,.484,1432,1958,.731,1047,2460,3507,1668,599,391,1206,1500,7944
10,2011-12,NBA,NJN,22,44,5,,26.1,6-6,219,,66,15890,2262,5320,.425,507,1481,.342,1755,3839,.457,1113,1433,.777,783,1879,2662,1311,493,260,995,1268,6144
11,2010-11,NBA,NJN,24,58,4,,24.8,6-7,218,,82,20005,2918,6638,.440,459,1337,.343,2459,5301,.464,1427,1881,.759,909,2440,3349,1723,458,384,1152,1807,7722
12,2009-10,NBA,NJN,12,70,5,,24.8,6-7,217,,82,19780,2813,6554,.429,377,1185,.318,2436,5369,.454,1572,2015,.780,897,2358,3255,1540,573,393,1182,1643,7575
13,2008-09,NBA,NJN,34,48,3,,25.7,6-7,219,,82,19830,2925,6536,.448,652,1735,.376,2273,4801,.473,1542,1980,.779,850,2415,3265,1636,559,391,1075,1838,8044
14,2007-08,NBA,NJN,34,48,4,,27.4,6-7,222,,82,19830,2856,6450,.443,498,1430,.348,2358,5020,.470,1647,2237,.736,913,2520,3433,1925,521,390,1229,1855,7857
15,2006-07,NBA,NJN,41,41,2,,28.2,6-7,219,,82,19880,2913,6379,.457,609,1676,.363,2304,4703,.490,1566,2153,.727,822,2525,3347,1962,499,273,1212,1869,8001
16,2005-06,NBA,NJN,49,33,1,,28.6,6-7,222,,82,19780,2778,6317,.440,477,1447,.330,2301,4870,.472,1658,2187,.758,822,2539,3361,1884,558,278,1119,1903,7691
17,2004-05,NBA,NJN,42,40,3,,27.8,6-6,219,,82,19905,2753,6419,.429,435,1203,.362,2318,5216,.444,1555,2039,.763,855,2387,3242,1772,650,308,1164,1985,7496
18,2003-04,NBA,NJN,47,35,1,,27.7,6-7,216,,82,19705,2813,6372,.441,377,1123,.336,2436,5249,.464,1398,1856,.753,862,2473,3335,2009,709,322,1209,1722,7401
19,2002-03,NBA,NJN,49,33,1,,27.3,6-7,217,,82,19755,2906,6585,.441,346,1041,.332,2560,5544,.462,1662,2195,.757,991,2528,3519,1887,717,374,1212,1772,7820
20,Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
21,2001-02,NBA,NJN,52,30,1,,26.1,6-7,218,,82,19830,3042,6816,.446,403,1194,.338,2639,5622,.469,1402,1907,.735,1039,2515,3554,1990,716,490,1189,1734,7889
22,2000-01,NBA,NJN,26,56,6,,27.5,6-6,209,,82,19730,2781,6550,.425,361,1084,.333,2420,5466,.443,1629,2146,.759,909,2337,3246,1603,649,407,1208,1982,7552
23,1999-00,NBA,NJN,31,51,6,,27.3,6-6,206,,82,19830,2979,6881,.433,477,1374,.347,2502,5507,.454,1601,2041,.784,1040,2315,3355,1688,720,393,1119,1913,8036
24,1998-99,NBA,NJN,16,34,7,,26.0,6-6,207,,50,12050,1691,4160,.406,225,679,.331,1466,3481,.421,962,1251,.769,715,1437,2152,923,491,273,750,1134,4569
25,1997-98,NBA,NJN,43,39,3,,27.8,6-6,204,,82,19880,3055,6928,.441,310,937,.331,2745,5991,.458,1750,2351,.744,1344,2137,3481,1685,777,314,1180,1917,8170
26,1996-97,NBA,NJN,26,56,5,,26.8,6-7,209,,82,19780,2994,7091,.422,484,1371,.353,2510,5720,.439,1502,2031,.740,1410,2376,3786,1726,677,481,1290,1865,7974
27,1995-96,NBA,NJN,30,52,6,,27.4,6-8,215,,82,19905,2881,6750,.427,250,746,.335,2631,6004,.438,1672,2244,.745,1350,2503,3853,1752,627,571,1375,1880,7684
28,1994-95,NBA,NJN,30,52,5,,27.5,6-7,213,,82,19880,2939,6738,.436,414,1297,.319,2525,5441,.464,1750,2305,.759,1213,2569,3782,1884,544,548,1300,1844,8042
29,1993-94,NBA,NJN,45,37,3,,26.6,6-6,211,,82,19830,3169,7115,.445,223,683,.327,2946,6432,.458,1900,2495,.762,1300,2556,3856,1900,696,576,1196,1693,8461
30,1992-93,NBA,NJN,43,39,3,,27.3,6-7,211,,82,19780,3272,7084,.462,155,488,.318,3117,6596,.473,1732,2258,.767,1291,2506,3797,1872,693,526,1355,1892,8431
31,1991-92,NBA,NJN,40,42,3,,25.6,6-7,210,,82,19780,3473,7580,.458,224,670,.334,3249,6910,.470,1471,2009,.732,1512,2392,3904,1937,736,615,1392,1834,8641
32,1990-91,NBA,NJN,26,56,5,,26.2,6-7,210,,82,19830,3311,7459,.444,161,586,.275,3150,6873,.458,1658,2245,.739,1400,2348,3748,1782,748,600,1423,1954,8441
33,1989-90,NBA,NJN,17,65,6,,26.6,6-7,209,,82,19705,3157,7415,.426,140,506,.277,3017,6909,.437,1754,2350,.746,1363,2324,3687,1475,774,481,1360,1952,8208
34,1988-89,NBA,NJN,26,56,5,,26.8,6-6,203,,82,19805,3333,7226,.461,187,568,.329,3146,6658,.473,1653,2260,.731,1204,2419,3623,1793,773,431,1449,1966,8506
35,1987-88,NBA,NJN,19,63,5,,26.7,6-6,207,,82,19780,3208,6857,.468,137,455,.301,3071,6402,.480,1682,2308,.729,1075,2262,3337,1795,727,385,1503,2042,8235
36,1986-87,NBA,NJN,24,58,4,,26.2,6-7,209,,82,19855,3374,7083,.476,145,449,.323,3229,6634,.487,2000,2607,.767,1169,2409,3578,1991,643,397,1617,2353,8893
37,1985-86,NBA,NJN,39,43,4,,27.5,6-6,206,,82,19805,3548,7301,.486,43,214,.201,3505,7087,.495,1810,2396,.755,1183,2483,3666,2128,749,345,1575,2129,8949
38,1984-85,NBA,NJN,42,40,3,,26.5,6-6,207,,82,19755,3646,7445,.490,52,224,.232,3594,7221,.498,1631,2237,.729,1233,2325,3558,2163,772,415,1355,2011,8975
